pdb_id,method,resolution_a,comp_id,comp_name,formula,formula_weight,comp_type,smiles,heavy_atoms,auth_asym_ids,classification,tier
8VJG,X-RAY DIFFRACTION,1.58,A1ACH,"Nalpha-{(2S)-1-[(3S)-2-acetyl-2,3,4,9-tetrahydro-1H-pyrido[3,4-b]indole-3-carbonyl]piperidine-2-carbonyl}-5-fluoro-L-tryptophanamide",C31 H33 F N6 O4,572.63,non-polymer,CC(=O)N1Cc2c(c3ccccc3[nH]2)C[C@H]1C(=O)N4CCCC[C@H]4C(=O)N[C@@H](Cc5c[nH]c6c5cc(cc6)F)C(=O)N,42,A,ligand,drug_like
8VJG,X-RAY DIFFRACTION,1.58,P33,"3,6,9,12,15,18-HEXAOXAICOSANE-1,20-DIOL",C14 H30 O8,326.383,non-polymer,C(COCCOCCOCCOCCOCCOCCO)O,22,A,additive_code,
8VJG,X-RAY DIFFRACTION,1.58,DTT,"2,3-DIHYDROXY-1,4-DITHIOBUTANE",C4 H10 O2 S2,154.251,non-polymer,C([C@@H]([C@H](CS)O)O)S,8,A,additive_code,
8VJG,X-RAY DIFFRACTION,1.58,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
8VZ3,X-RAY DIFFRACTION,1.65,A1AEL,3-(fluorosulfonyl)-5-({[(1S)-2-oxocyclopentyl]methyl}carbamoyl)benzoic acid,C14 H14 F N O6 S,343.327,non-polymer,c1c(cc(cc1C(=O)O)S(=O)(=O)F)C(=O)NC[C@@H]2CCCC2=O,23,A,ligand,drug_like
8VZ3,X-RAY DIFFRACTION,1.65,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
8VZ5,X-RAY DIFFRACTION,1.95,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
8VZ5,X-RAY DIFFRACTION,1.95,PE4,2-{2-[2-(2-{2-[2-(2-ETHOXY-ETHOXY)-ETHOXY]-ETHOXY}-ETHOXY)-ETHOXY]-ETHOXY}-ETHANOL,C16 H34 O8,354.436,non-polymer,CCOCCOCCOCCOCCOCCOCCOCCO,24,A,additive_code,
8VZ5,X-RAY DIFFRACTION,1.95,A1AEM,4-[fluoro(dihydroxy)-lambda~4~-sulfanyl]benzoic acid,C7 H5 F O4 S,204.176,non-polymer,c1cc(ccc1C(=O)O)S(=O)(=O)F,13,A,ligand,drug_like
8W11,X-RAY DIFFRACTION,2.2,A1AET,3-(fluorosulfonyl)-5-[(2-oxo-2H-1-benzopyran-3-yl)carbamoyl]benzoic acid,C17 H10 F N O7 S,391.327,non-polymer,c1ccc2c(c1)C=C(C(=O)O2)NC(=O)c3cc(cc(c3)S(=O)(=O)F)C(=O)O,27,"A,B",ligand,drug_like
