rgroup_id,linker_id,linker_smiles,aryl_smiles,fragment_smiles,aryl_heavy_atoms,aryl_mw,chembl_pool_frequency
rg0050,2C,CC,c1ccc2ncncc2c1,[*]CCc1ccc2ncncc2c1,10,130.15,45
rg0051,3C,CCC,c1ccc2ncncc2c1,[*]CCCc1ccc2ncncc2c1,10,130.15,45
rg0052,alpha_Me,C(C),c1ccc2ncncc2c1,[*]C(C)c1ccc2ncncc2c1,10,130.15,45
rg0053,gem_diMe,C(C)(C),c1ccc2ncncc2c1,[*]C(C)(C)c1ccc2ncncc2c1,10,130.15,45
rg0054,direct,,c1ccc2ccccc2c1,[*]c1ccc2ccccc2c1,10,128.17,40
rg0055,1C,C,c1ccc2ccccc2c1,[*]Cc1ccc2ccccc2c1,10,128.17,40
rg0056,2C,CC,c1ccc2ccccc2c1,[*]CCc1ccc2ccccc2c1,10,128.17,40
rg0057,3C,CCC,c1ccc2ccccc2c1,[*]CCCc1ccc2ccccc2c1,10,128.17,40
rg0058,alpha_Me,C(C),c1ccc2ccccc2c1,[*]C(C)c1ccc2ccccc2c1,10,128.17,40
rg0059,gem_diMe,C(C)(C),c1ccc2ccccc2c1,[*]C(C)(C)c1ccc2ccccc2c1,10,128.17,40
rg0060,direct,,c1ccc(N2CCNCC2)cc1,[*]c1ccc(N2CCNCC2)cc1,12,162.24,40
rg0061,1C,C,c1ccc(N2CCNCC2)cc1,[*]Cc1ccc(N2CCNCC2)cc1,12,162.24,40
rg0062,2C,CC,c1ccc(N2CCNCC2)cc1,[*]CCc1ccc(N2CCNCC2)cc1,12,162.24,40
rg0063,3C,CCC,c1ccc(N2CCNCC2)cc1,[*]CCCc1ccc(N2CCNCC2)cc1,12,162.24,40
rg0064,alpha_Me,C(C),c1ccc(N2CCNCC2)cc1,[*]C(C)c1ccc(N2CCNCC2)cc1,12,162.24,40
rg0065,gem_diMe,C(C)(C),c1ccc(N2CCNCC2)cc1,[*]C(C)(C)c1ccc(N2CCNCC2)cc1,12,162.24,40
rg0066,direct,,c1ccc2c(c1)CCCC2,[*]c1ccc2c(c1)CCCC2,10,132.21,39
rg0067,1C,C,c1ccc2c(c1)CCCC2,[*]Cc1ccc2c(c1)CCCC2,10,132.21,39
rg0068,2C,CC,c1ccc2c(c1)CCCC2,[*]CCc1ccc2c(c1)CCCC2,10,132.21,39
rg0069,3C,CCC,c1ccc2c(c1)CCCC2,[*]CCCc1ccc2c(c1)CCCC2,10,132.21,39
rg0070,alpha_Me,C(C),c1ccc2c(c1)CCCC2,[*]C(C)c1ccc2c(c1)CCCC2,10,132.21,39
rg0071,gem_diMe,C(C)(C),c1ccc2c(c1)CCCC2,[*]C(C)(C)c1ccc2c(c1)CCCC2,10,132.21,39
rg0072,direct,,C1=NC=NCN1c1ccccc1,[*]C1=NC=NCN1c1ccccc1,12,159.19,38
rg0073,1C,C,C1=NC=NCN1c1ccccc1,[*]CC1=NC=NCN1c1ccccc1,12,159.19,38
rg0074,2C,CC,C1=NC=NCN1c1ccccc1,[*]CCC1=NC=NCN1c1ccccc1,12,159.19,38
rg0075,3C,CCC,C1=NC=NCN1c1ccccc1,[*]CCCC1=NC=NCN1c1ccccc1,12,159.19,38
rg0076,alpha_Me,C(C),C1=NC=NCN1c1ccccc1,[*]C(C)C1=NC=NCN1c1ccccc1,12,159.19,38
rg0077,gem_diMe,C(C)(C),C1=NC=NCN1c1ccccc1,[*]C(C)(C)C1=NC=NCN1c1ccccc1,12,159.19,38
rg0078,direct,,c1ccc(NC2CCCC2)cc1,[*]c1ccc(NC2CCCC2)cc1,12,161.25,36
rg0079,1C,C,c1ccc(NC2CCCC2)cc1,[*]Cc1ccc(NC2CCCC2)cc1,12,161.25,36
rg0080,2C,CC,c1ccc(NC2CCCC2)cc1,[*]CCc1ccc(NC2CCCC2)cc1,12,161.25,36
rg0081,3C,CCC,c1ccc(NC2CCCC2)cc1,[*]CCCc1ccc(NC2CCCC2)cc1,12,161.25,36
rg0082,alpha_Me,C(C),c1ccc(NC2CCCC2)cc1,[*]C(C)c1ccc(NC2CCCC2)cc1,12,161.25,36
rg0083,gem_diMe,C(C)(C),c1ccc(NC2CCCC2)cc1,[*]C(C)(C)c1ccc(NC2CCCC2)cc1,12,161.25,36
rg0084,direct,,c1ncc2nc[nH]c2n1,[*]c1ncc2nc[nH]c2n1,9,120.11,35
rg0085,1C,C,c1ncc2nc[nH]c2n1,[*]Cc1ncc2nc[nH]c2n1,9,120.11,35
rg0086,2C,CC,c1ncc2nc[nH]c2n1,[*]CCc1ncc2nc[nH]c2n1,9,120.11,35
rg0087,3C,CCC,c1ncc2nc[nH]c2n1,[*]CCCc1ncc2nc[nH]c2n1,9,120.11,35
rg0088,alpha_Me,C(C),c1ncc2nc[nH]c2n1,[*]C(C)c1ncc2nc[nH]c2n1,9,120.11,35
rg0089,gem_diMe,C(C)(C),c1ncc2nc[nH]c2n1,[*]C(C)(C)c1ncc2nc[nH]c2n1,9,120.11,35
rg0090,direct,,c1ccc(-c2nncs2)cc1,[*]c1ccc(-c2nncs2)cc1,11,162.22,35
rg0091,1C,C,c1ccc(-c2nncs2)cc1,[*]Cc1ccc(-c2nncs2)cc1,11,162.22,35
rg0092,2C,CC,c1ccc(-c2nncs2)cc1,[*]CCc1ccc(-c2nncs2)cc1,11,162.22,35
rg0093,3C,CCC,c1ccc(-c2nncs2)cc1,[*]CCCc1ccc(-c2nncs2)cc1,11,162.22,35
rg0094,alpha_Me,C(C),c1ccc(-c2nncs2)cc1,[*]C(C)c1ccc(-c2nncs2)cc1,11,162.22,35
rg0095,gem_diMe,C(C)(C),c1ccc(-c2nncs2)cc1,[*]C(C)(C)c1ccc(-c2nncs2)cc1,11,162.22,35
rg0096,direct,,c1ccc(C2=NCCN2)cc1,[*]c1ccc(C2=NCCN2)cc1,11,146.19,30
rg0097,1C,C,c1ccc(C2=NCCN2)cc1,[*]Cc1ccc(C2=NCCN2)cc1,11,146.19,30
rg0098,2C,CC,c1ccc(C2=NCCN2)cc1,[*]CCc1ccc(C2=NCCN2)cc1,11,146.19,30
rg0099,3C,CCC,c1ccc(C2=NCCN2)cc1,[*]CCCc1ccc(C2=NCCN2)cc1,11,146.19,30
rg0100,alpha_Me,C(C),c1ccc(C2=NCCN2)cc1,[*]C(C)c1ccc(C2=NCCN2)cc1,11,146.19,30
rg0101,gem_diMe,C(C)(C),c1ccc(C2=NCCN2)cc1,[*]C(C)(C)c1ccc(C2=NCCN2)cc1,11,146.19,30
rg0102,direct,,N=c1cc/c1=N\c1ccccc1,[*]N=c1cc/c1=N\c1ccccc1,12,156.19,29
rg0103,1C,C,N=c1cc/c1=N\c1ccccc1,[*]CN=c1cc/c1=N\c1ccccc1,12,156.19,29
rg0104,2C,CC,N=c1cc/c1=N\c1ccccc1,[*]CCN=c1cc/c1=N\c1ccccc1,12,156.19,29
rg0105,3C,CCC,N=c1cc/c1=N\c1ccccc1,[*]CCCN=c1cc/c1=N\c1ccccc1,12,156.19,29
rg0106,alpha_Me,C(C),N=c1cc/c1=N\c1ccccc1,[*]C(C)N=c1cc/c1=N\c1ccccc1,12,156.19,29
rg0107,gem_diMe,C(C)(C),N=c1cc/c1=N\c1ccccc1,[*]C(C)(C)N=c1cc/c1=N\c1ccccc1,12,156.19,29
rg0108,direct,,c1ccc(NC2=NCCN2)cc1,[*]c1ccc(NC2=NCCN2)cc1,12,161.21,21
rg0109,1C,C,c1ccc(NC2=NCCN2)cc1,[*]Cc1ccc(NC2=NCCN2)cc1,12,161.21,21
rg0110,2C,CC,c1ccc(NC2=NCCN2)cc1,[*]CCc1ccc(NC2=NCCN2)cc1,12,161.21,21
rg0111,3C,CCC,c1ccc(NC2=NCCN2)cc1,[*]CCCc1ccc(NC2=NCCN2)cc1,12,161.21,21
rg0112,alpha_Me,C(C),c1ccc(NC2=NCCN2)cc1,[*]C(C)c1ccc(NC2=NCCN2)cc1,12,161.21,21
rg0113,gem_diMe,C(C)(C),c1ccc(NC2=NCCN2)cc1,[*]C(C)(C)c1ccc(NC2=NCCN2)cc1,12,161.21,21
rg0114,direct,,C1=Cc2ccccc2OC1,[*]C1=Cc2ccccc2OC1,10,132.16,19
rg0115,1C,C,C1=Cc2ccccc2OC1,[*]CC1=Cc2ccccc2OC1,10,132.16,19
rg0116,2C,CC,C1=Cc2ccccc2OC1,[*]CCC1=Cc2ccccc2OC1,10,132.16,19
rg0117,3C,CCC,C1=Cc2ccccc2OC1,[*]CCCC1=Cc2ccccc2OC1,10,132.16,19
rg0118,alpha_Me,C(C),C1=Cc2ccccc2OC1,[*]C(C)C1=Cc2ccccc2OC1,10,132.16,19
rg0119,gem_diMe,C(C)(C),C1=Cc2ccccc2OC1,[*]C(C)(C)C1=Cc2ccccc2OC1,10,132.16,19
rg0120,direct,,c1ccc(CCCC2CO2)cc1,[*]c1ccc(CCCC2CO2)cc1,12,162.23,19
rg0121,1C,C,c1ccc(CCCC2CO2)cc1,[*]Cc1ccc(CCCC2CO2)cc1,12,162.23,19
rg0122,2C,CC,c1ccc(CCCC2CO2)cc1,[*]CCc1ccc(CCCC2CO2)cc1,12,162.23,19
